,model,r2,mse,mse_hi
0,base,0.3327916599677091,22.64768689412161,41.738931558132904
1,outlier,0.4251724554287877,19.511917742118584,35.09320134073759
2,spatial,0.3069934044879451,23.523381602152355,43.993357246143816
