"","model","mean_MSE","mean_R2","sd_MSE","sd_R2"
"1","base",2.86775857344429,0.464059990687163,0.427175824234931,0.0564051466169429
"2","outlier",5.5498909466248,0.376724021771272,4.43315747754926,0.0710051388714566
"3","spatialcv",3.08999510360054,0.422527398249109,2.06340018132837,0.379788912015512
